,record_date,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,year,month,day,hour,weekday,is_weekend,is_holiday,season,AVERAGE_SPEED_DIFF_N,LUMINOSITY_N,AVERAGE_CLOUDINESS_N,is_peak_hour,poor_visibility,hour_weekday,time_ratio
15,2019-02-08 22:00:00,,39.3,5.0,90.0,DARK,11.0,1023.0,100.0,4.0,nuvens quebrados,2019,2,8,22,4,0,0,Winter,,0,5.0,0,1,118,0.05555555555555555
16,2019-09-08 05:00:00,,46.0,7.1,83.5,DARK,18.0,1016.0,40.0,5.0,,2019,9,8,5,6,1,0,Summer,,0,,0,1,149,0.08502994011976048
17,2018-12-09 22:00:00,,37.5,0.8,67.8,DARK,11.0,1030.0,100.0,2.0,,2018,12,9,22,6,1,0,Autumn,,0,,0,1,166,0.011799410029498527
18,2018-12-02 21:00:00,Low,44.7,2.5,68.2,DARK,15.0,1024.0,87.0,6.0,nuvens quebrados,2018,12,2,21,6,1,0,Autumn,0.0,0,5.0,0,1,165,0.03665689149560117
19,2019-02-17 14:00:00,Low,35.7,10.9,105.3,LIGHT,16.0,1019.0,67.0,5.0,algumas nuvens,2019,2,17,14,6,1,0,Winter,0.0,2,3.0,1,0,158,0.10351377018043685
20,2018-11-10 22:00:00,Low,43.3,4.8,84.7,DARK,15.0,1012.0,100.0,6.0,nuvens quebrados,2018,11,10,22,5,1,0,Autumn,0.0,0,5.0,0,1,142,0.05667060212514757
21,2019-09-13 23:00:00,,39.7,2.0,72.0,DARK,24.0,1020.0,32.0,4.0,,2019,9,13,23,4,0,0,Summer,,0,,0,1,119,0.027777777777777776
22,2019-04-29 16:00:00,Medium,40.9,35.9,77.7,LIGHT,20.0,1018.0,82.0,6.0,,2019,4,29,16,0,0,0,Spring,1.0,2,,1,0,16,0.462033462033462
23,2018-10-03 19:00:00,Medium,43.0,30.7,89.3,DARK,22.0,1020.0,37.0,1.0,céu claro,2018,10,3,19,2,0,0,Autumn,1.0,0,1.0,1,1,67,0.3437849944008959
24,2019-08-08 18:00:00,Very_High,43.1,113.5,86.2,LIGHT,22.0,1011.0,94.0,7.0,,2019,8,8,18,3,0,0,Summer,3.0,2,,1,0,90,1.3167053364269141
25,2018-10-26 19:00:00,High,40.8,25.9,81.9,DARK,14.0,1014.0,93.0,0.0,nuvens quebrados,2018,10,26,19,4,0,0,Autumn,2.0,0,5.0,1,1,115,0.3162393162393162
26,2019-07-13 19:00:00,Medium,35.6,26.7,89.8,LIGHT,22.0,1016.0,83.0,3.0,céu pouco nublado,2019,7,13,19,5,1,0,Summer,1.0,2,2.0,1,0,139,0.2973273942093541
27,2018-08-13 12:00:00,High,33.8,136.9,93.6,LIGHT,20.0,1019.0,77.0,3.0,nuvens quebrados,2018,8,13,12,0,0,0,Summer,2.0,2,5.0,1,1,12,1.4626068376068377
28,2019-05-25 02:00:00,,37.9,2.5,64.7,DARK,15.0,1019.0,67.0,4.0,,2019,5,25,2,5,1,0,Spring,,0,,0,1,122,0.03863987635239567
29,2019-09-09 10:00:00,Medium,36.2,38.7,84.8,LIGHT,16.0,1019.0,100.0,1.0,,2019,9,9,10,0,0,0,Summer,1.0,2,,1,0,10,0.45636792452830194
30,2019-06-16 10:00:00,Low,37.2,9.4,72.5,LIGHT,17.0,1019.0,72.0,2.0,,2019,6,16,10,6,1,0,Spring,0.0,2,,1,0,154,0.1296551724137931
31,2019-02-07 07:00:00,Medium,47.3,6.2,80.3,DARK,8.0,1025.0,100.0,1.0,nuvens dispersas,2019,2,7,7,3,0,0,Winter,1.0,0,4.0,1,1,79,0.07721046077210461
32,2018-10-17 03:00:00,Low,45.5,3.6,86.2,DARK,13.0,1018.0,93.0,2.0,,2018,10,17,3,2,0,0,Autumn,0.0,0,,0,1,51,0.04176334106728538
33,2018-11-07 02:00:00,,45.3,1.4,81.6,DARK,13.0,1007.0,93.0,6.0,nuvens quebrados,2018,11,7,2,2,0,0,Autumn,,0,5.0,0,1,50,0.01715686274509804
34,2018-08-01 23:00:00,Low,41.4,14.2,77.1,DARK,18.0,1013.0,88.0,0.0,céu claro,2018,8,1,23,2,0,0,Summer,0.0,0,1.0,0,1,71,0.18417639429312582
35,2018-08-15 19:00:00,Low,37.3,13.0,91.4,LIGHT,21.0,1015.0,73.0,2.0,algumas nuvens,2018,8,15,19,2,0,0,Summer,0.0,2,3.0,1,0,67,0.1422319474835886
36,2018-12-08 10:00:00,,36.7,0.0,75.5,LIGHT,7.0,1032.0,100.0,1.0,algumas nuvens,2018,12,8,10,5,1,0,Autumn,,2,3.0,1,0,130,0.0
37,2018-11-03 01:00:00,,38.3,0.0,84.3,DARK,13.0,1026.0,100.0,0.0,,2018,11,3,1,5,1,0,Autumn,,0,,0,1,121,0.0
38,2018-09-18 13:00:00,Medium,34.2,36.3,92.5,LIGHT,21.0,1018.0,83.0,3.0,tempo nublado,2018,9,18,13,1,0,0,Summer,1.0,2,6.0,0,1,37,0.3924324324324324
39,2019-01-27 00:00:00,Low,37.2,3.0,66.9,DARK,11.0,1020.0,87.0,4.0,tempo nublado,2019,1,27,0,6,1,0,Winter,0.0,0,6.0,0,1,144,0.04484304932735426
40,2018-10-27 06:00:00,Low,48.2,1.4,82.9,DARK,11.0,1016.0,66.0,8.0,céu claro,2018,10,27,6,5,1,0,Autumn,0.0,0,1.0,0,1,126,0.01688781664656212
41,2019-06-19 08:00:00,Very_High,46.0,131.7,61.5,LIGHT,16.0,1015.0,100.0,3.0,nuvens quebradas,2019,6,19,8,2,0,0,Spring,3.0,2,5.0,1,1,56,2.141463414634146
42,2019-01-25 10:00:00,High,39.0,41.3,79.0,LIGHT,7.0,1021.0,100.0,1.0,céu claro,2019,1,25,10,4,0,0,Winter,2.0,2,1.0,1,0,106,0.5227848101265823
43,2018-08-12 13:00:00,Medium,40.6,19.9,87.6,LIGHT,20.0,1019.0,82.0,4.0,nuvens quebrados,2018,8,12,13,6,1,0,Summer,1.0,2,5.0,0,1,157,0.2271689497716895
44,2018-09-13 18:00:00,High,42.9,63.6,85.6,LIGHT,20.0,1018.0,73.0,2.0,céu claro,2018,9,13,18,3,0,0,Summer,2.0,2,1.0,1,0,90,0.7429906542056075
45,2018-10-05 06:00:00,,47.4,0.0,85.9,DARK,9.0,1016.0,87.0,1.0,céu claro,2018,10,5,6,4,0,0,Autumn,,0,1.0,0,1,102,0.0
46,2019-01-24 00:00:00,,39.1,0.0,72.0,DARK,13.0,1018.0,93.0,6.0,nuvens quebrados,2019,1,24,0,3,0,0,Winter,,0,5.0,0,1,72,0.0
47,2019-02-27 18:00:00,High,40.2,31.3,88.9,LOW_LIGHT,14.0,1029.0,76.0,1.0,algumas nuvens,2019,2,27,18,2,0,0,Winter,2.0,1,3.0,1,1,66,0.35208098987626546
48,2018-11-14 09:00:00,Very_High,47.7,103.1,81.5,LIGHT,10.0,1020.0,76.0,5.0,,2018,11,14,9,2,0,0,Autumn,3.0,2,,1,0,57,1.2650306748466258
49,2019-04-26 06:00:00,Medium,43.1,7.6,66.5,LOW_LIGHT,9.0,1024.0,87.0,2.0,céu pouco nublado,2019,4,26,6,4,0,0,Spring,1.0,1,2.0,0,1,102,0.11428571428571428
50,2018-09-01 06:00:00,,47.3,0.0,89.4,DARK,15.0,1014.0,88.0,2.0,céu claro,2018,9,1,6,5,1,0,Summer,,0,1.0,0,1,126,0.0
51,2019-07-10 19:00:00,Low,37.3,6.9,78.8,LIGHT,28.0,1014.0,61.0,4.0,,2019,7,10,19,2,0,0,Summer,0.0,2,,1,0,67,0.08756345177664976
52,2019-02-01 22:00:00,Medium,45.6,10.2,77.3,DARK,9.0,1005.0,87.0,10.0,,2019,2,1,22,4,0,0,Winter,1.0,0,,0,1,118,0.13195342820181113
53,2018-07-25 10:00:00,Medium,37.4,30.6,90.0,LIGHT,19.0,1016.0,77.0,0.0,nuvens quebrados,2018,7,25,10,2,0,0,Summer,1.0,2,5.0,1,1,58,0.34
54,2018-09-09 09:00:00,,34.8,0.0,88.4,LIGHT,17.0,1021.0,100.0,1.0,,2018,9,9,9,6,1,0,Summer,,2,,1,0,153,0.0
55,2019-09-29 04:00:00,,44.2,2.6,77.6,DARK,12.0,1019.0,100.0,2.0,,2019,9,29,4,6,1,0,Autumn,,0,,0,1,148,0.033505154639175264
56,2019-02-13 09:00:00,Very_High,44.3,111.9,86.4,LIGHT,5.0,1029.0,66.0,5.0,céu claro,2019,2,13,9,2,0,0,Winter,3.0,2,1.0,1,0,57,1.2951388888888888
57,2019-04-11 20:00:00,,38.9,2.5,69.5,DARK,12.0,1021.0,87.0,2.0,céu limpo,2019,4,11,20,3,0,0,Spring,,0,0.0,0,1,92,0.03597122302158273
58,2018-08-26 02:00:00,,45.0,0.0,80.6,DARK,14.0,1015.0,87.0,1.0,céu claro,2018,8,26,2,6,1,0,Summer,,0,1.0,0,1,146,0.0
59,2019-06-25 13:00:00,Medium,37.4,20.6,76.5,LIGHT,21.0,1016.0,72.0,2.0,céu pouco nublado,2019,6,25,13,1,0,0,Summer,1.0,2,2.0,0,0,37,0.26928104575163403
60,2018-10-01 20:00:00,,37.6,1.9,84.9,DARK,18.0,1019.0,67.0,2.0,céu claro,2018,10,1,20,0,0,0,Autumn,,0,1.0,0,1,20,0.022379269729093047
61,2018-10-25 17:00:00,High,44.5,78.7,85.0,LOW_LIGHT,17.0,1017.0,67.0,0.0,nuvens quebrados,2018,10,25,17,3,0,0,Autumn,2.0,1,5.0,1,1,89,0.9258823529411765
62,2019-06-02 01:00:00,,36.4,0.0,68.9,DARK,17.0,1018.0,82.0,1.0,,2019,6,2,1,6,1,0,Spring,,0,,0,1,145,0.0
63,2019-08-15 15:00:00,High,38.5,92.2,92.8,LIGHT,26.0,1020.0,69.0,6.0,,2019,8,15,15,3,0,0,Summer,2.0,2,,1,0,87,0.9935344827586208
64,2018-08-02 18:00:00,High,45.3,38.8,87.0,LIGHT,30.0,1013.0,43.0,3.0,céu claro,2018,8,2,18,3,0,0,Summer,2.0,2,1.0,1,0,90,0.44597701149425284
65,2019-07-03 10:00:00,Medium,32.9,24.1,88.8,LIGHT,21.0,1013.0,88.0,4.0,nuvens quebradas,2019,7,3,10,2,0,0,Summer,1.0,2,5.0,1,1,58,0.2713963963963964
66,2019-05-18 13:00:00,Low,33.7,7.0,70.8,LIGHT,15.0,1016.0,67.0,4.0,nuvens dispersas,2019,5,18,13,5,1,0,Spring,0.0,2,4.0,0,1,133,0.09887005649717515
67,2018-12-03 21:00:00,,41.9,0.0,73.8,DARK,14.0,1023.0,100.0,0.0,,2018,12,3,21,0,0,0,Autumn,,0,,0,1,21,0.0
68,2019-08-14 01:00:00,,49.6,4.1,86.1,DARK,15.0,1021.0,87.0,8.0,,2019,8,14,1,2,0,0,Summer,,0,,0,1,49,0.047619047619047616
69,2019-03-31 09:00:00,Low,40.7,3.6,83.4,LIGHT,14.0,1012.0,55.0,3.0,céu limpo,2019,3,31,9,6,1,0,Spring,0.0,2,0.0,1,0,153,0.043165467625899276
70,2019-09-18 06:00:00,Medium,40.5,5.0,81.8,DARK,14.0,1015.0,100.0,2.0,,2019,9,18,6,2,0,0,Summer,1.0,0,,0,1,54,0.06112469437652812
71,2018-09-21 18:00:00,High,44.5,43.3,81.3,LOW_LIGHT,20.0,1021.0,82.0,5.0,céu claro,2018,9,21,18,4,0,0,Summer,2.0,1,1.0,1,1,114,0.5325953259532595
72,2019-07-09 19:00:00,High,39.3,22.3,79.0,LIGHT,24.0,1015.0,73.0,4.0,,2019,7,9,19,1,0,0,Summer,2.0,2,,1,0,43,0.28227848101265823
73,2019-07-19 15:00:00,High,36.0,59.6,87.9,LIGHT,25.0,1015.0,82.0,6.0,,2019,7,19,15,4,0,0,Summer,2.0,2,,1,0,111,0.6780432309442548
74,2019-07-06 23:00:00,Low,34.9,7.9,92.3,DARK,18.0,1016.0,93.0,2.0,céu pouco nublado,2019,7,6,23,5,1,0,Summer,0.0,0,2.0,0,1,143,0.08559046587215602
75,2018-09-14 05:00:00,,41.9,0.0,87.0,DARK,14.0,1017.0,100.0,1.0,,2018,9,14,5,4,0,0,Summer,,0,,0,1,101,0.0
76,2018-11-22 20:00:00,High,44.2,37.5,73.3,DARK,11.0,1012.0,87.0,5.0,,2018,11,22,20,3,0,0,Autumn,2.0,0,,0,1,92,0.5115961800818554
77,2019-01-15 21:00:00,,35.0,5.9,77.1,DARK,7.0,1020.0,93.0,2.0,nuvens quebrados,2019,1,15,21,1,0,0,Winter,,0,5.0,0,1,45,0.07652399481193256
78,2018-07-30 15:00:00,High,37.5,60.8,90.4,LIGHT,22.0,1019.0,94.0,3.0,,2018,7,30,15,0,0,0,Summer,2.0,2,,1,0,15,0.6725663716814159
79,2018-08-01 11:00:00,Medium,39.4,33.4,88.6,LIGHT,22.0,1017.0,69.0,2.0,céu claro,2018,8,1,11,2,0,0,Summer,1.0,2,1.0,1,0,59,0.37697516930022573
80,2019-09-29 18:00:00,High,41.0,81.3,83.5,LIGHT,20.0,1020.0,77.0,1.0,nuvens quebradas,2019,9,29,18,6,1,0,Autumn,2.0,2,5.0,1,1,162,0.9736526946107784
81,2018-11-28 22:00:00,,47.9,0.0,71.6,DARK,10.0,1019.0,81.0,6.0,algumas nuvens,2018,11,28,22,2,0,0,Autumn,,0,3.0,0,1,70,0.0
82,2019-06-12 19:00:00,Medium,41.6,10.9,78.2,LIGHT,16.0,1013.0,77.0,7.0,,2019,6,12,19,2,0,0,Spring,1.0,2,,1,0,67,0.13938618925831203
83,2018-11-06 11:00:00,Medium,39.6,11.0,82.9,LIGHT,13.0,1011.0,93.0,9.0,tempo nublado,2018,11,6,11,1,0,0,Autumn,1.0,2,6.0,1,1,35,0.13268998793727382
84,2018-08-29 18:00:00,Medium,39.6,35.9,88.3,LIGHT,19.0,1020.0,68.0,7.0,céu claro,2018,8,29,18,2,0,0,Summer,1.0,2,1.0,1,0,66,0.40656851642129105
85,2019-09-11 17:00:00,High,40.9,117.7,82.9,LIGHT,24.0,1022.0,49.0,8.0,,2019,9,11,17,2,0,0,Summer,2.0,2,,1,0,65,1.4197828709288298
86,2019-09-21 03:00:00,,48.3,0.0,77.2,DARK,17.0,1009.0,82.0,4.0,nuvens quebradas,2019,9,21,3,5,1,0,Summer,,0,5.0,0,1,123,0.0
87,2019-09-13 03:00:00,,43.2,2.8,84.3,DARK,18.0,1023.0,64.0,2.0,,2019,9,13,3,4,0,0,Summer,,0,,0,1,99,0.033214709371293
88,2019-05-19 22:00:00,,41.9,2.0,69.2,DARK,12.0,1015.0,76.0,3.0,,2019,5,19,22,6,1,0,Spring,,0,,0,1,166,0.028901734104046242
89,2018-11-12 06:00:00,,44.2,0.0,82.0,DARK,8.0,1012.0,100.0,1.0,algumas nuvens,2018,11,12,6,0,0,0,Autumn,,0,3.0,0,1,6,0.0
90,2018-12-03 03:00:00,,47.1,0.0,70.9,DARK,14.0,1023.0,93.0,6.0,,2018,12,3,3,0,0,0,Autumn,,0,,0,1,3,0.0
91,2019-06-17 09:00:00,High,37.8,45.4,65.4,LIGHT,17.0,1016.0,82.0,1.0,nuvens dispersas,2019,6,17,9,0,0,0,Spring,2.0,2,4.0,1,1,9,0.6941896024464831
92,2018-09-09 14:00:00,Medium,41.3,16.5,81.9,LIGHT,18.0,1021.0,88.0,2.0,,2018,9,9,14,6,1,0,Summer,1.0,2,,1,0,158,0.20146520146520144
93,2019-07-15 13:00:00,Low,32.8,15.2,83.0,LIGHT,21.0,1016.0,93.0,3.0,nuvens quebradas,2019,7,15,13,0,0,0,Summer,0.0,2,5.0,0,1,13,0.18313253012048192
94,2019-06-03 03:00:00,,43.1,0.0,71.3,DARK,16.0,1018.0,93.0,1.0,nuvens quebradas,2019,6,3,3,0,0,0,Spring,,0,5.0,0,1,3,0.0
95,2018-08-13 22:00:00,,43.6,4.3,76.9,DARK,16.0,1017.0,93.0,1.0,céu claro,2018,8,13,22,0,0,0,Summer,,0,1.0,0,1,22,0.05591677503250975
96,2019-05-03 23:00:00,,35.8,1.5,72.3,DARK,15.0,1011.0,72.0,3.0,,2019,5,3,23,4,0,0,Spring,,0,,0,1,119,0.02074688796680498
97,2018-12-11 01:00:00,,42.1,0.0,75.9,DARK,9.0,1022.0,54.0,6.0,céu claro,2018,12,11,1,1,0,0,Autumn,,0,1.0,0,1,25,0.0
98,2019-04-22 07:00:00,Medium,41.1,13.9,75.1,LIGHT,12.0,1004.0,87.0,3.0,céu limpo,2019,4,22,7,0,0,0,Spring,1.0,2,0.0,1,0,7,0.18508655126498005
99,2018-12-09 02:00:00,,37.2,2.4,68.3,DARK,8.0,1032.0,100.0,0.0,nuvens quebrados,2018,12,9,2,6,1,0,Autumn,,0,5.0,0,1,146,0.03513909224011713
100,2018-10-26 13:00:00,Medium,42.8,10.5,82.0,LIGHT,17.0,1014.0,82.0,2.0,nuvens dispersas,2018,10,26,13,4,0,0,Autumn,1.0,2,4.0,0,1,109,0.12804878048780488
101,2019-07-04 11:00:00,Medium,34.1,27.2,83.2,LIGHT,22.0,1015.0,73.0,4.0,céu pouco nublado,2019,7,4,11,3,0,0,Summer,1.0,2,2.0,1,0,83,0.3269230769230769
102,2019-05-22 21:00:00,,43.1,0.0,70.1,DARK,16.0,1020.0,93.0,2.0,,2019,5,22,21,2,0,0,Spring,,0,,0,1,69,0.0
103,2018-08-05 14:00:00,Low,36.9,8.6,87.2,LIGHT,28.0,1016.0,65.0,2.0,céu claro,2018,8,5,14,6,1,0,Summer,0.0,2,1.0,1,0,158,0.09862385321100917
104,2019-08-10 05:00:00,Low,50.8,9.4,87.2,DARK,16.0,1020.0,100.0,1.0,,2019,8,10,5,5,1,0,Summer,0.0,0,,0,1,125,0.10779816513761468
105,2019-05-22 18:00:00,High,39.9,47.6,72.9,LIGHT,18.0,1018.0,68.0,4.0,céu pouco nublado,2019,5,22,18,2,0,0,Spring,2.0,2,2.0,1,0,66,0.6529492455418381
106,2019-09-02 18:00:00,High,41.7,76.7,81.1,LIGHT,29.0,1015.0,48.0,4.0,,2019,9,2,18,0,0,0,Summer,2.0,2,,1,0,18,0.9457459926017263
107,2019-08-15 14:00:00,High,38.0,49.5,91.3,LIGHT,26.0,1020.0,69.0,6.0,,2019,8,15,14,3,0,0,Summer,2.0,2,,1,0,86,0.5421686746987951
108,2019-08-23 03:00:00,Low,44.8,13.9,78.1,DARK,17.0,1015.0,88.0,3.0,,2019,8,23,3,4,0,0,Summer,0.0,0,,0,1,99,0.17797695262483998
109,2019-06-28 12:00:00,Medium,39.9,17.7,69.7,LIGHT,23.0,1018.0,73.0,4.0,,2019,6,28,12,4,0,0,Summer,1.0,2,,1,0,108,0.25394548063127687
110,2018-11-24 21:00:00,,39.2,4.2,71.7,DARK,14.0,1008.0,93.0,6.0,,2018,11,24,21,5,1,0,Autumn,,0,,0,1,141,0.058577405857740586
111,2019-04-19 16:00:00,High,38.4,99.3,80.3,LIGHT,20.0,1015.0,46.0,3.0,céu pouco nublado,2019,4,19,16,4,0,0,Spring,2.0,2,2.0,1,0,112,1.236612702366127
112,2019-09-11 20:00:00,Low,44.1,12.8,80.3,DARK,20.0,1022.0,68.0,3.0,,2019,9,11,20,2,0,0,Summer,0.0,0,,0,1,68,0.15940224159402244
113,2019-03-03 14:00:00,Low,33.6,16.9,103.8,LIGHT,16.0,1022.0,82.0,7.0,nuvens quebradas,2019,3,3,14,6,1,0,Winter,0.0,2,5.0,1,1,158,0.16281310211946048
114,2018-09-14 20:00:00,Low,42.4,3.3,78.4,DARK,17.0,1017.0,93.0,2.0,,2018,9,14,20,4,0,0,Summer,0.0,0,,0,1,116,0.04209183673469387
115,2018-10-21 22:00:00,,43.0,4.8,82.7,DARK,17.0,1019.0,88.0,2.0,céu claro,2018,10,21,22,6,1,0,Autumn,,0,1.0,0,1,166,0.058041112454655375
116,2018-09-06 11:00:00,Medium,37.4,30.6,91.6,LIGHT,20.0,1016.0,77.0,2.0,céu claro,2018,9,6,11,3,0,0,Summer,1.0,2,1.0,1,0,83,0.3340611353711791
117,2019-07-01 18:00:00,Very_High,41.1,132.7,72.7,LIGHT,23.0,1018.0,73.0,5.0,,2019,7,1,18,0,0,0,Summer,3.0,2,,1,0,18,1.825309491059147
118,2019-06-23 23:00:00,High,51.1,35.3,65.8,DARK,17.0,1014.0,100.0,0.0,céu pouco nublado,2019,6,23,23,6,1,0,Summer,2.0,0,2.0,0,1,167,0.5364741641337386
119,2019-04-14 22:00:00,Low,37.0,7.5,68.6,DARK,16.0,1014.0,100.0,3.0,nuvens quebradas,2019,4,14,22,6,1,0,Spring,0.0,0,5.0,0,1,166,0.10932944606413995
120,2019-01-21 03:00:00,Low,47.3,1.2,73.2,DARK,5.0,1024.0,93.0,2.0,céu claro,2019,1,21,3,0,0,0,Winter,0.0,0,1.0,0,1,3,0.016393442622950817
121,2019-05-31 16:00:00,High,36.4,61.0,74.9,LIGHT,30.0,1019.0,32.0,3.0,,2019,5,31,16,4,0,0,Spring,2.0,2,,1,0,112,0.8144192256341788
122,2018-10-12 05:00:00,,42.1,5.5,88.7,DARK,17.0,1015.0,77.0,7.0,algumas nuvens,2018,10,12,5,4,0,0,Autumn,,0,3.0,0,1,101,0.06200676437429538
123,2018-09-23 02:00:00,,44.5,0.0,85.0,DARK,14.0,1022.0,100.0,0.0,céu claro,2018,9,23,2,6,1,0,Autumn,,0,1.0,0,1,146,0.0
124,2019-09-15 23:00:00,Low,44.9,6.2,70.2,DARK,20.0,1017.0,72.0,1.0,,2019,9,15,23,6,1,0,Summer,0.0,0,,0,1,167,0.08831908831908832
125,2019-07-09 15:00:00,High,39.5,38.0,88.8,LIGHT,25.0,1016.0,78.0,3.0,,2019,7,9,15,1,0,0,Summer,2.0,2,,1,0,39,0.42792792792792794
126,2018-10-29 20:00:00,Medium,40.8,19.2,82.4,DARK,10.0,1005.0,93.0,3.0,,2018,10,29,20,0,0,0,Autumn,1.0,0,,0,1,20,0.23300970873786406
127,2019-07-01 13:00:00,Medium,38.2,15.4,66.1,LIGHT,23.0,1019.0,73.0,3.0,céu pouco nublado,2019,7,1,13,0,0,0,Summer,1.0,2,2.0,0,0,13,0.23298033282904693
128,2019-06-10 21:00:00,Low,40.3,9.7,72.3,DARK,15.0,1019.0,82.0,5.0,céu pouco nublado,2019,6,10,21,0,0,0,Spring,0.0,0,2.0,0,1,21,0.13416320885200553
129,2019-03-30 13:00:00,Medium,32.8,23.6,84.3,LIGHT,20.0,1017.0,48.0,2.0,céu pouco nublado,2019,3,30,13,5,1,0,Spring,1.0,2,2.0,0,0,133,0.2799525504151839
130,2019-06-19 12:00:00,Medium,35.2,34.4,81.2,LIGHT,19.0,1017.0,88.0,4.0,nuvens quebradas,2019,6,19,12,2,0,0,Spring,1.0,2,5.0,1,1,60,0.4236453201970443
131,2019-04-03 03:00:00,,41.8,0.0,74.8,DARK,8.0,1015.0,87.0,2.0,céu limpo,2019,4,3,3,2,0,0,Spring,,0,0.0,0,1,51,0.0
132,2019-01-15 23:00:00,,41.6,0.0,76.2,DARK,7.0,1020.0,93.0,4.0,nuvens quebrados,2019,1,15,23,1,0,0,Winter,,0,5.0,0,1,47,0.0
133,2019-02-11 06:00:00,,39.0,4.4,92.1,DARK,3.0,1029.0,100.0,1.0,céu claro,2019,2,11,6,0,0,0,Winter,,0,1.0,0,1,6,0.0477741585233442
134,2019-05-12 09:00:00,Low,41.8,0.9,61.8,LIGHT,20.0,1021.0,32.0,6.0,,2019,5,12,9,6,1,0,Spring,0.0,2,,1,0,153,0.014563106796116505
135,2019-04-12 19:00:00,Medium,34.6,21.2,81.2,DARK,13.0,1019.0,87.0,1.0,céu limpo,2019,4,12,19,4,0,0,Spring,1.0,0,0.0,1,1,115,0.2610837438423645
136,2018-11-19 13:00:00,,35.3,6.6,78.1,LIGHT,14.0,986.0,86.0,1.0,nuvens quebrados,2018,11,19,13,0,0,0,Autumn,,2,5.0,0,1,13,0.08450704225352113
