,record_date,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,year,month,day,hour,weekday,is_weekend,is_holiday,season,AVERAGE_SPEED_DIFF_N,LUMINOSITY_N,AVERAGE_CLOUDINESS_N,is_peak_hour,poor_visibility,hour_weekday,time_ratio,AVERAGE_FREE_FLOW_SPEED_lag1,AVERAGE_FREE_FLOW_SPEED_lag2,AVERAGE_FREE_FLOW_SPEED_lag4,AVERAGE_TIME_DIFF_lag1,AVERAGE_TIME_DIFF_lag2,AVERAGE_TIME_DIFF_lag4,rolling_speed_mean_3h,rolling_speed_std_3h,speed_change,hour_day_cat,hour_sin,hour_cos
541,2018-07-26 04:00:00,Medium,41.7,1.6,88.8,DARK,18.0,1015.0,100.0,2.0,nuvens quebrados,2018,7,26,4,3,0,0,Summer,0,0,5.0,0,1,76,0.018018018018018018,48.1,44.6,41.5,4.6,10.7,5.8,44.800000000000004,3.2046840717923675,-6.399999999999999,4_3,0.8660254037844386,0.5000000000000001
3767,2018-07-26 05:00:00,Medium,43.2,1.3,87.6,DARK,18.0,1016.0,93.0,2.0,nuvens quebrados,2018,7,26,5,3,0,0,Summer,0,0,5.0,0,1,77,0.014840182648401827,41.7,48.1,40.8,1.6,4.6,3.3,44.333333333333336,3.3471380810078726,1.5,5_3,0.9659258262890683,0.25881904510252074
1513,2018-07-26 06:00:00,Medium,43.2,0.0,87.9,LOW_LIGHT,18.0,1016.0,93.0,3.0,nuvens quebrados,2018,7,26,6,3,0,0,Summer,0,1,5.0,0,1,78,0.0,43.2,41.7,44.6,1.3,1.6,10.7,42.70000000000001,0.8660254037843258,0.0,6_3,1.0,6.123233995736766e-17
3904,2018-07-26 07:00:00,Medium,42.0,12.6,88.4,LIGHT,18.0,1016.0,93.0,3.0,nuvens quebrados,2018,7,26,7,3,0,0,Summer,2,2,5.0,1,1,79,0.1425339366515837,43.2,43.2,48.1,0.0,1.3,4.6,42.800000000000004,0.6928203230274095,-1.2000000000000028,7_3,0.9659258262890683,-0.25881904510252063
6064,2018-07-26 08:00:00,High,43.0,15.3,85.0,LIGHT,18.0,1016.0,93.0,3.0,nuvens quebrados,2018,7,26,8,3,0,0,Summer,3,2,5.0,1,1,80,0.18000000000000002,42.0,43.2,41.7,12.6,0.0,1.6,42.73333333333333,0.6429100507327133,1.0,8_3,0.8660254037844387,-0.4999999999999998
4160,2018-07-26 09:00:00,Medium,38.9,21.8,88.5,LIGHT,19.0,1016.0,88.0,3.0,nuvens quebrados,2018,7,26,9,3,0,0,Summer,2,2,5.0,1,1,81,0.24632768361581922,43.0,42.0,43.2,15.3,12.6,1.3,41.300000000000004,2.1377558326431636,-4.100000000000001,9_3,0.7071067811865476,-0.7071067811865475
1746,2018-07-26 10:00:00,Medium,39.1,27.7,93.1,LIGHT,20.0,1017.0,88.0,3.0,nuvens dispersas,2018,7,26,10,3,0,0,Summer,2,2,4.0,1,1,82,0.2975295381310419,38.9,43.0,43.2,21.8,15.3,0.0,40.333333333333336,2.3115651263447514,0.20000000000000284,10_3,0.49999999999999994,-0.8660254037844387
358,2018-07-26 11:00:00,Medium,37.2,31.6,91.0,LIGHT,21.0,1017.0,83.0,5.0,nuvens dispersas,2018,7,26,11,3,0,0,Summer,2,2,4.0,1,1,83,0.3472527472527473,39.1,38.9,42.0,27.7,21.8,12.6,38.4,1.0440306508910298,-1.8999999999999986,11_3,0.258819045102521,-0.9659258262890682
3182,2018-07-26 12:00:00,Medium,39.0,37.9,90.1,LIGHT,21.0,1016.0,83.0,5.0,algumas nuvens,2018,7,26,12,3,0,0,Summer,2,2,3.0,1,0,84,0.42064372918978915,37.2,39.1,43.0,31.6,27.7,15.3,38.43333333333334,1.0692676621563382,1.7999999999999972,12_3,1.2246467991473532e-16,-1.0
4471,2018-07-26 13:00:00,Low,36.8,16.4,92.9,LIGHT,22.0,1016.0,78.0,5.0,algumas nuvens,2018,7,26,13,3,0,0,Summer,1,2,3.0,0,0,85,0.1765339074273412,39.0,37.2,38.9,37.9,31.6,21.8,37.666666666666664,1.1718930554164522,-2.200000000000003,13_3,-0.2588190451025208,-0.9659258262890683
916,2018-07-26 15:00:00,Medium,36.9,37.5,90.7,LIGHT,22.0,1016.0,68.0,5.0,algumas nuvens,2018,7,26,15,3,0,0,Summer,2,2,3.0,1,0,87,0.41345093715545755,36.8,39.0,39.1,16.4,37.9,27.7,37.56666666666666,1.242309676905607,0.10000000000000142,15_3,-0.7071067811865471,-0.7071067811865479
3856,2018-07-26 16:00:00,Medium,39.7,29.9,89.3,LIGHT,22.0,1016.0,73.0,5.0,céu claro,2018,7,26,16,3,0,0,Summer,2,2,1.0,1,0,88,0.3348264277715565,36.9,36.8,37.2,37.5,16.4,31.6,37.800000000000004,1.6462077633154264,2.8000000000000043,16_3,-0.8660254037844385,-0.5000000000000004
6556,2018-07-26 17:00:00,High,38.8,47.3,89.6,LIGHT,21.0,1016.0,77.0,4.0,céu claro,2018,7,26,17,3,0,0,Summer,3,2,1.0,1,0,89,0.5279017857142857,39.7,36.9,39.0,29.9,37.5,37.9,38.46666666666667,1.429452109492754,-0.9000000000000057,17_3,-0.9659258262890683,-0.25881904510252063
4656,2018-07-26 18:00:00,High,43.0,52.8,87.2,LIGHT,21.0,1016.0,82.0,4.0,algumas nuvens,2018,7,26,18,3,0,0,Summer,3,2,3.0,1,0,90,0.6055045871559632,38.8,39.7,36.8,47.3,29.9,16.4,40.5,2.2113344387495744,4.200000000000003,18_3,-1.0,-1.8369701987210297e-16
662,2018-07-26 21:00:00,Very_High,36.4,0.0,88.6,DARK,18.0,1016.0,93.0,2.0,céu claro,2018,7,26,21,3,0,0,Summer,0,0,1.0,0,1,93,0.0,43.0,38.8,36.9,52.8,47.3,37.5,39.4,3.340658617698001,-6.600000000000001,21_3,-0.7071067811865477,0.7071067811865474
2815,2018-07-26 22:00:00,Very_High,40.2,5.3,85.5,DARK,18.0,1017.0,88.0,0.0,céu claro,2018,7,26,22,3,0,0,Summer,0,0,1.0,0,1,94,0.06198830409356725,36.4,43.0,39.7,0.0,52.8,29.9,39.86666666666667,3.312602199681278,3.8000000000000043,22_3,-0.5000000000000004,0.8660254037844384
3657,2018-07-27 00:00:00,Very_High,46.1,0.0,87.4,DARK,16.0,1016.0,93.0,0.0,céu claro,2018,7,27,0,4,0,0,Summer,0,0,1.0,0,1,96,0.0,40.2,36.4,38.8,5.3,0.0,47.3,40.9,4.8877397639399645,5.899999999999999,0_4,0.0,1.0
3998,2018-07-27 01:00:00,Very_High,46.1,0.6,80.0,DARK,16.0,1016.0,100.0,0.0,nuvens quebrados,2018,7,27,1,4,0,0,Summer,0,0,5.0,0,1,97,0.0075,46.1,40.2,43.0,0.0,5.3,52.8,44.13333333333333,3.40636658821877,0.0,1_4,0.25881904510252074,0.9659258262890683
6172,2018-07-27 02:00:00,Very_High,47.1,0.0,85.4,DARK,17.0,1016.0,93.0,0.0,nuvens quebrados,2018,7,27,2,4,0,0,Summer,0,0,5.0,0,1,98,0.0,46.1,46.1,36.4,0.6,0.0,0.0,46.43333333333334,0.5773502691894734,1.0,2_4,0.49999999999999994,0.8660254037844387
838,2018-07-27 03:00:00,Very_High,42.5,0.0,87.1,DARK,16.0,1015.0,93.0,0.0,nuvens quebrados,2018,7,27,3,4,0,0,Summer,0,0,5.0,0,1,99,0.0,47.1,46.1,40.2,0.0,0.6,5.3,45.23333333333334,2.4193663082165098,-4.600000000000001,3_4,0.7071067811865476,0.7071067811865476
5072,2018-07-27 04:00:00,Very_High,44.3,0.0,89.7,DARK,18.0,1015.0,93.0,0.0,nuvens quebrados,2018,7,27,4,4,0,0,Summer,0,0,5.0,0,1,100,0.0,42.5,47.1,46.1,0.0,0.0,0.0,44.63333333333333,2.3180451534284656,1.7999999999999972,4_4,0.8660254037844386,0.5000000000000001
6095,2018-07-27 05:00:00,Very_High,44.5,0.0,88.7,DARK,17.0,1015.0,100.0,3.0,nuvens quebrados,2018,7,27,5,4,0,0,Summer,0,0,5.0,0,1,101,0.0,44.3,42.5,46.1,0.0,0.0,0.6,43.76666666666667,1.1015141094571634,0.20000000000000284,5_4,0.9659258262890683,0.25881904510252074
4198,2018-07-27 06:00:00,Very_High,42.2,0.0,87.1,LOW_LIGHT,17.0,1015.0,100.0,1.0,tempo nublado,2018,7,27,6,4,0,0,Summer,0,1,6.0,0,1,102,0.0,44.5,44.3,47.1,0.0,0.0,0.0,43.666666666666664,1.2741009902410414,-2.299999999999997,6_4,1.0,6.123233995736766e-17
6567,2018-07-27 08:00:00,Very_High,42.5,52.9,87.1,LIGHT,18.0,1015.0,93.0,1.0,tempo nublado,2018,7,27,8,4,0,0,Summer,4,2,6.0,1,1,104,0.6073478760045924,42.2,44.5,42.5,0.0,0.0,0.0,43.06666666666666,1.2503332889006888,0.29999999999999716,8_4,0.8660254037844387,-0.4999999999999998
4420,2018-07-27 10:00:00,High,41.1,37.5,81.7,LIGHT,20.5,1016.0,72.5,2.0,nuvens quebrados,2018,7,27,10,4,0,0,Summer,3,2,5.0,1,1,106,0.45899632802937573,42.5,42.2,44.3,52.9,0.0,0.0,41.93333333333333,0.7371114795831276,-1.3999999999999986,10_4,0.49999999999999994,-0.8660254037844387
5107,2018-07-27 11:00:00,Medium,36.8,43.8,92.0,LIGHT,21.0,1016.0,77.0,3.0,nuvens quebrados,2018,7,27,11,4,0,0,Summer,2,2,5.0,1,1,107,0.4760869565217391,41.1,42.5,44.5,37.5,52.9,0.0,40.13333333333333,2.9704096238285467,-4.300000000000004,11_4,0.258819045102521,-0.9659258262890682
5978,2018-07-27 13:00:00,Medium,39.9,4.4,85.4,LIGHT,23.0,1015.0,49.0,3.0,algumas nuvens,2018,7,27,13,4,0,0,Summer,0,2,3.0,0,0,109,0.05152224824355972,36.8,41.1,42.2,43.8,37.5,0.0,39.26666666666667,2.2188585654189965,3.1000000000000014,13_4,-0.2588190451025208,-0.9659258262890683
4223,2018-07-27 14:00:00,Medium,39.7,35.8,88.7,LIGHT,22.0,1016.0,77.0,3.0,algumas nuvens,2018,7,27,14,4,0,0,Summer,2,2,3.0,1,0,110,0.40360766629086803,39.9,36.8,42.5,4.4,43.8,52.9,38.800000000000004,1.7349351572897218,-0.19999999999999574,14_4,-0.4999999999999997,-0.8660254037844388
4858,2018-07-27 15:00:00,Medium,40.6,36.5,87.6,LIGHT,21.0,1016.0,77.0,3.0,algumas nuvens,2018,7,27,15,4,0,0,Summer,2,2,3.0,1,0,111,0.4166666666666667,39.7,39.9,41.1,35.8,4.4,37.5,40.06666666666667,0.472581562625171,0.8999999999999986,15_4,-0.7071067811865471,-0.7071067811865479
1862,2018-07-27 16:00:00,Medium,39.4,27.0,89.5,LIGHT,21.0,1016.0,73.0,6.0,algumas nuvens,2018,7,27,16,4,0,0,Summer,2,2,3.0,1,0,112,0.3016759776536313,40.6,39.7,36.8,36.5,35.8,43.8,39.900000000000006,0.624499799839769,-1.2000000000000028,16_4,-0.8660254037844385,-0.5000000000000004
4029,2018-07-27 17:00:00,Very_High,43.8,49.5,86.3,LIGHT,21.0,1016.0,64.0,3.0,algumas nuvens,2018,7,27,17,4,0,0,Summer,4,2,3.0,1,0,113,0.5735805330243338,39.4,40.6,39.9,27.0,36.5,4.4,41.26666666666666,2.2744962812309173,4.399999999999999,17_4,-0.9659258262890683,-0.25881904510252063
6105,2018-07-27 18:00:00,Very_High,44.8,44.9,81.4,LIGHT,21.0,1016.0,68.0,3.0,algumas nuvens,2018,7,27,18,4,0,0,Summer,4,2,3.0,1,0,114,0.5515970515970515,43.8,39.4,39.7,49.5,27.0,35.8,42.666666666666664,2.872861523522027,1.0,18_4,-1.0,-1.8369701987210297e-16
1021,2018-07-27 19:00:00,High,43.8,32.3,86.3,LIGHT,20.0,1016.0,72.0,4.0,céu claro,2018,7,27,19,4,0,0,Summer,3,2,1.0,1,0,115,0.3742757821552723,44.8,43.8,40.6,44.9,49.5,36.5,44.133333333333326,0.5773502691896334,-1.0,19_4,-0.9659258262890684,0.2588190451025203
4256,2018-07-27 20:00:00,Low,40.5,14.3,83.9,DARK,19.0,1017.0,77.0,1.0,céu claro,2018,7,27,20,4,0,0,Summer,1,0,1.0,0,1,116,0.17044100119189512,43.8,44.8,39.4,32.3,44.9,27.0,43.03333333333333,2.2501851775650175,-3.299999999999997,20_4,-0.8660254037844386,0.5000000000000001
3699,2018-07-27 21:00:00,Low,42.3,15.1,86.6,DARK,19.0,1017.0,82.0,1.0,céu claro,2018,7,27,21,4,0,0,Summer,1,0,1.0,0,1,117,0.17436489607390301,40.5,43.8,43.8,14.3,32.3,49.5,42.199999999999996,1.6522711641858192,1.7999999999999972,21_4,-0.7071067811865477,0.7071067811865474
3151,2018-07-27 22:00:00,Medium,40.7,18.8,88.5,DARK,17.0,1017.0,88.0,0.0,céu claro,2018,7,27,22,4,0,0,Summer,2,0,1.0,0,1,118,0.21242937853107347,42.3,40.5,44.8,15.1,14.3,44.9,41.166666666666664,0.9865765724632249,-1.5999999999999943,22_4,-0.5000000000000004,0.8660254037844384
2619,2018-07-27 23:00:00,Medium,42.1,15.3,87.0,DARK,16.0,1017.0,87.0,0.0,céu claro,2018,7,27,23,4,0,0,Summer,2,0,1.0,0,1,119,0.17586206896551726,40.7,42.3,43.8,18.8,15.1,32.3,41.7,0.8717797887081076,1.3999999999999986,23_4,-0.25881904510252157,0.9659258262890681
696,2018-07-28 00:00:00,Low,43.8,0.0,82.1,DARK,15.0,1017.0,93.0,0.0,céu claro,2018,7,28,0,5,1,0,Summer,0,0,1.0,0,1,120,0.0,42.1,40.7,40.5,15.3,18.8,14.3,42.2,1.5524174696259845,1.6999999999999957,0_5,0.0,1.0
3737,2018-07-28 01:00:00,Low,42.7,0.0,83.0,DARK,15.0,1017.0,93.0,0.0,céu claro,2018,7,28,1,5,1,0,Summer,0,0,1.0,0,1,121,0.0,43.8,42.1,42.3,0.0,15.3,15.1,42.866666666666674,0.8621678104251383,-1.0999999999999943,1_5,0.25881904510252074,0.9659258262890683
5525,2018-07-28 02:00:00,Low,46.2,0.0,82.8,DARK,14.0,1017.0,93.0,0.0,nuvens quebrados,2018,7,28,2,5,1,0,Summer,0,0,5.0,0,1,122,0.0,42.7,43.8,40.7,0.0,0.0,18.8,44.23333333333333,1.7897858344878261,3.5,2_5,0.49999999999999994,0.8660254037844387
3355,2018-07-28 03:00:00,Low,44.4,0.0,85.8,DARK,14.0,1016.0,93.0,0.0,nuvens quebrados,2018,7,28,3,5,1,0,Summer,0,0,5.0,0,1,123,0.0,46.2,42.7,42.1,0.0,0.0,15.3,44.43333333333334,1.7502380790433287,-1.8000000000000043,3_5,0.7071067811865476,0.7071067811865476
2481,2018-07-28 04:00:00,Low,43.0,0.9,85.8,DARK,14.0,1016.0,93.0,0.0,nuvens quebrados,2018,7,28,4,5,1,0,Summer,1,0,5.0,0,1,124,0.01048951048951049,44.4,46.2,43.8,0.0,0.0,0.0,44.53333333333333,1.6041612554021145,-1.3999999999999986,4_5,0.8660254037844386,0.5000000000000001
3650,2018-07-28 06:00:00,Low,47.0,0.0,87.6,LIGHT,16.0,1016.0,88.0,3.0,nuvens quebrados,2018,7,28,6,5,1,0,Summer,0,2,5.0,0,1,126,0.0,43.0,44.4,42.7,0.9,0.0,0.0,44.800000000000004,2.029778313018431,4.0,6_5,1.0,6.123233995736766e-17
6280,2018-07-28 07:00:00,Low,39.4,4.4,89.1,LIGHT,18.0,1016.0,82.0,2.0,nuvens dispersas,2018,7,28,7,5,1,0,Summer,0,2,4.0,1,1,127,0.04938271604938272,47.0,43.0,46.2,0.0,0.9,0.0,43.133333333333326,3.8017539811688654,-7.600000000000001,7_5,0.9659258262890683,-0.25881904510252063
610,2018-07-28 08:00:00,Low,41.7,2.0,87.4,LIGHT,18.0,1016.0,77.0,1.0,algumas nuvens,2018,7,28,8,5,1,0,Summer,0,2,3.0,1,0,128,0.02288329519450801,39.4,47.0,44.4,4.4,0.0,0.0,42.699999999999996,3.897435053981014,2.3000000000000043,8_5,0.8660254037844387,-0.4999999999999998
3163,2018-07-28 09:00:00,Low,37.5,0.0,81.1,LIGHT,20.0,1017.0,73.0,1.0,algumas nuvens,2018,7,28,9,5,1,0,Summer,0,2,3.0,1,0,129,0.0,41.7,39.4,43.0,2.0,4.4,0.9,39.53333333333333,2.10317220724633,-4.200000000000003,9_5,0.7071067811865476,-0.7071067811865475
1133,2018-07-28 10:00:00,Low,41.5,7.2,82.4,LIGHT,22.0,1017.0,73.0,2.0,algumas nuvens,2018,7,28,10,5,1,0,Summer,1,2,3.0,1,0,130,0.08737864077669903,37.5,41.7,47.0,0.0,2.0,0.0,40.233333333333334,2.369247419188926,4.0,10_5,0.49999999999999994,-0.8660254037844387
2631,2018-07-28 12:00:00,Low,40.1,6.9,83.6,LIGHT,22.0,1017.0,68.0,3.0,nuvens dispersas,2018,7,28,12,5,1,0,Summer,1,2,4.0,1,1,132,0.08253588516746413,41.5,37.5,39.4,7.2,0.0,4.4,39.699999999999996,2.0297783130184595,-1.3999999999999986,12_5,1.2246467991473532e-16,-1.0
5528,2018-07-28 14:00:00,Medium,40.3,16.3,88.9,LIGHT,22.0,1017.0,73.0,3.0,algumas nuvens,2018,7,28,14,5,1,0,Summer,2,2,3.0,1,0,134,0.18335208098987626,40.1,41.5,41.7,6.9,7.2,2.0,40.63333333333333,0.7571877794400618,0.19999999999999574,14_5,-0.4999999999999997,-0.8660254037844388
5616,2018-07-28 16:00:00,Medium,37.1,28.2,90.2,LIGHT,22.0,1017.0,73.0,4.0,algumas nuvens,2018,7,28,16,5,1,0,Summer,2,2,3.0,1,0,136,0.31263858093126384,40.3,40.1,37.5,16.3,6.9,0.0,39.166666666666664,1.7925772879665174,-3.1999999999999957,16_5,-0.8660254037844385,-0.5000000000000004
5892,2018-07-28 17:00:00,Medium,41.2,26.9,87.4,LIGHT,21.0,1017.0,68.0,4.0,céu claro,2018,7,28,17,5,1,0,Summer,2,2,1.0,1,0,137,0.3077803203661327,37.1,40.3,41.5,28.2,16.3,7.2,39.53333333333334,2.1548395145192125,4.100000000000001,17_5,-0.9659258262890683,-0.25881904510252063
